epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
99,12362,0.81469,0.47333,1.12157,0.94723,0.93127,0.95967,0.73208,0.86644,0.41691,1.21548,0.0156164,0.00520548,0.0156164,0.00520548,0.0156164,0.00520548,0.0156164,0.00520548
100,12482.2,0.8169,0.47385,1.12448,0.92896,0.93642,0.95587,0.73713,0.86275,0.41592,1.20634,0.0153833,0.00512775,0.0153833,0.00512775,0.0153833,0.00512775,0.0153833,0.00512775
101,12604.5,0.80607,0.47249,1.11909,0.95096,0.91575,0.95757,0.73215,0.87755,0.41794,1.21662,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
102,12729.3,0.80727,0.46844,1.11879,0.93329,0.92627,0.95263,0.73075,0.86538,0.4171,1.20951,0.0149167,0.00497225,0.0149167,0.00497225,0.0149167,0.00497225,0.0149167,0.00497225
103,12850.7,0.80426,0.47111,1.11686,0.94754,0.92783,0.95964,0.7334,0.85601,0.41787,1.20123,0.0146836,0.00489452,0.0146836,0.00489452,0.0146836,0.00489452,0.0146836,0.00489452
104,12970.6,0.79884,0.46549,1.10895,0.93047,0.93852,0.96016,0.73586,0.85334,0.40882,1.20708,0.0144505,0.00481682,0.0144505,0.00481682,0.0144505,0.00481682,0.0144505,0.00481682
105,13091,0.80134,0.46558,1.10443,0.9378,0.93116,0.95576,0.73048,0.86336,0.41367,1.21864,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919
106,13211.5,0.77986,0.45291,1.09757,0.93895,0.93734,0.95922,0.73366,0.87437,0.40934,1.22411,0.0139849,0.00466163,0.0139849,0.00466163,0.0139849,0.00466163,0.0139849,0.00466163
107,13332.4,0.79209,0.46081,1.10341,0.93945,0.9405,0.96072,0.73657,0.87471,0.41512,1.22564,0.0137525,0.00458416,0.0137525,0.00458416,0.0137525,0.00458416,0.0137525,0.00458416
108,13453.7,0.77668,0.4521,1.09668,0.9382,0.92874,0.95428,0.73555,0.8642,0.41858,1.21455,0.0135204,0.00450682,0.0135204,0.00450682,0.0135204,0.00450682,0.0135204,0.00450682
109,13574,0.77455,0.45844,1.09536,0.92872,0.93715,0.95543,0.73383,0.87447,0.42149,1.22541,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296
110,13696.3,0.76932,0.44372,1.08874,0.93538,0.93687,0.95789,0.73326,0.86271,0.41318,1.21368,0.0130576,0.00435254,0.0130576,0.00435254,0.0130576,0.00435254,0.0130576,0.00435254
111,13818.9,0.77083,0.45129,1.08729,0.94316,0.92548,0.96005,0.73685,0.85117,0.40182,1.20521,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565
112,13943.2,0.76263,0.44534,1.09006,0.93195,0.9372,0.9574,0.73774,0.8509,0.4133,1.21283,0.0125969,0.00419895,0.0125969,0.00419895,0.0125969,0.00419895,0.0125969,0.00419895
113,14071.5,0.76987,0.4482,1.09593,0.92696,0.93507,0.95764,0.73555,0.85099,0.40884,1.22153,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246
114,14195.6,0.75257,0.44135,1.08465,0.92825,0.93631,0.95656,0.73619,0.84487,0.41677,1.21241,0.0121386,0.0040462,0.0121386,0.0040462,0.0121386,0.0040462,0.0121386,0.0040462
115,14317,0.75976,0.44093,1.0853,0.93226,0.93816,0.95694,0.73336,0.8534,0.4187,1.22082,0.0119106,0.00397019,0.0119106,0.00397019,0.0119106,0.00397019,0.0119106,0.00397019
116,14438.3,0.75769,0.43841,1.08828,0.9302,0.93292,0.95449,0.73387,0.85526,0.4185,1.22853,0.0116833,0.00389445,0.0116833,0.00389445,0.0116833,0.00389445,0.0116833,0.00389445
117,14561.4,0.75091,0.43683,1.07963,0.92893,0.93064,0.95423,0.73169,0.86047,0.4073,1.23972,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899
118,14684.3,0.74516,0.43452,1.07756,0.93539,0.93272,0.95658,0.73735,0.85276,0.41755,1.23438,0.0112315,0.00374383,0.0112315,0.00374383,0.0112315,0.00374383,0.0112315,0.00374383
119,14806.5,0.74037,0.4259,1.07827,0.9463,0.92348,0.95543,0.73485,0.85381,0.41431,1.22587,0.011007,0.00366899,0.011007,0.00366899,0.011007,0.00366899,0.011007,0.00366899
120,14928.5,0.73706,0.42957,1.07262,0.94282,0.92808,0.95641,0.73451,0.86439,0.41673,1.2325,0.0107835,0.0035945,0.0107835,0.0035945,0.0107835,0.0035945,0.0107835,0.0035945
121,15050.3,0.73577,0.42718,1.07416,0.94855,0.91948,0.95699,0.73263,0.8699,0.4095,1.24547,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037
122,15174.7,0.72219,0.42012,1.06956,0.93851,0.92325,0.95318,0.73266,0.85597,0.40925,1.23522,0.0103398,0.00344661,0.0103398,0.00344661,0.0103398,0.00344661,0.0103398,0.00344661
123,15299.1,0.72927,0.42378,1.07002,0.94045,0.9363,0.95858,0.73235,0.85543,0.4048,1.22546,0.0101197,0.00337325,0.0101197,0.00337325,0.0101197,0.00337325,0.0101197,0.00337325
124,15420.6,0.72637,0.41323,1.06587,0.93621,0.93015,0.9559,0.72938,0.85544,0.41221,1.22865,0.0099009,0.0033003,0.0099009,0.0033003,0.0099009,0.0033003,0.0099009,0.0033003
125,15542.1,0.72371,0.41921,1.06708,0.94738,0.92867,0.9528,0.73165,0.84786,0.39984,1.23292,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778
126,15669.1,0.72937,0.42268,1.06971,0.94378,0.92952,0.95052,0.73176,0.85397,0.39699,1.24373,0.00946715,0.00315572,0.00946715,0.00315572,0.00946715,0.00315572,0.00946715,0.00315572
